"District,N,9,0","Route,C,254","County,C,254","Postmile,C,254","Descriptn,C,254","Back_pk_h,N,9,0","Back_pk_m,N,9,0","Back_AADT,N,9,0","Ahead_pk_h,N,9,0","Ahead_pk_m,N,9,0","Ahead_AADT,N,9,0","Lat_S_or_W,N,19,11","Lon_S_or_W,N,19,11","AbsPM_S_W,N,13,11","Lat_N_or_E,N,19,11","Lon_N_or_E,N,19,11","AbsPM_N_E,N,13,11"
12,1,ORA,R0.129,"DANA POINT, JCT. RTE. 5",0,0,0,3800,41000,37600,33.46700782000,-117.66980890000,0.00000000000,33.46705125000,-117.66990990000,0.00000000000
12,1,ORA,R0.78,"DANA POINT, DOHENY PARK ROAD",3800,41000,37600,3900,42000,38750,33.46408053000,-117.67891550000,0.65100000000,33.46419038000,-117.67892090000,0.65100000000
12,1,ORA,4.864,BREAK IN ROUTE,0,0,0,0,0,0,33.46415920000,-117.68398530000,0.94800000000,33.46425140000,-117.68397760000,0.94800000000
12,1,ORA,8.43,"LAGUNA BEACH, MOUNTAIN ROAD",2900,39500,37100,2900,39500,37100,33.53174413000,-117.77487180000,4.51400000000,33.53175236000,-117.77486390000,4.51400000000
12,1,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3050,41500,38600,3450,41500,38600,33.54273836000,-117.78531850000,5.50200000000,33.54273836000,-117.78531850000,5.50200000000
12,1,ORA,9.6,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3400,40000,37500,3400,40000,37500,33.54380386000,-117.78835760000,5.68400000000,33.54388958000,-117.78832300000,5.68400000000
12,1,ORA,11.5,"LAGUNA BEACH, NORTH CITY LIMITS",3200,38000,35650,3200,39000,35650,33.55670291000,-117.81654250000,7.58400000000,33.55679371000,-117.81648840000,7.58400000000
12,1,ORA,14.057,BREAK IN ROUTE,0,0,0,0,0,0,33.46415920000,-117.68398530000,0.94800000000,33.46425140000,-117.68397760000,0.94800000000
12,1,ORA,R18.073,"NEWPORT BEACH, BAYSIDE DRIVE",4050,50000,45800,4850,60000,54750,33.61618212000,-117.90090940000,10.75300000000,33.61634883000,-117.90091090000,10.75300000000
12,1,ORA,R18.446,"NEWPORT BEACH, DOVER DRIVE",4300,53000,48600,4300,53000,48600,33.61624536000,-117.90722400000,11.12600000000,33.61624536000,-117.90722400000,11.12600000000
12,1,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55",4400,54000,49350,5400,53000,49350,33.62115559000,-117.92935860000,12.48700000000,33.62127138000,-117.92932550000,12.48700000000
12,1,ORA,20.37,"NEWPORT BEACH, BALBOA BLVD/SUPERIOR AVE",5500,52000,49100,5500,52000,49100,33.62285816000,-117.93926160000,13.06000000000,33.62303601000,-117.93921380000,13.06000000000
12,1,ORA,21.549,SANTA ANA RIVER BRIDGE,4250,41000,38650,4250,41000,38650,33.63055843000,-117.95662330000,14.23900000000,33.63066656000,-117.95654870000,14.23900000000
12,1,ORA,22.09,"HUNTINGTON BEACH, BROOKHURST STREET",4300,42000,39150,4350,42000,39150,33.63520250000,-117.96415090000,14.78000000000,33.63531631000,-117.96406340000,14.78000000000
12,1,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",4200,40500,38100,4200,40500,38100,33.64848863000,-117.98828660000,16.42900000000,33.64864662000,-117.98820060000,16.42900000000
12,1,ORA,25.89,"HUNTINGTON BEACH, GOLDENWEST STREET",4100,39500,37150,4100,40000,37150,33.66818659000,-118.01737130000,18.58000000000,33.66827106000,-118.01728770000,18.58000000000
12,1,ORA,29.89,"SUNSET BEACH, WARNER AVENUE",4950,47500,44400,4900,47500,44400,33.71155692000,-118.06309260000,22.58000000000,33.71162835000,-118.06298180000,22.58000000000
12,1,ORA,32.721,"SEAL BEACH, SEAL BEACH BOULVARD",4450,49000,46150,4450,49500,46150,33.74078656000,-118.09554220000,25.41100000000,33.74088178000,-118.09545400000,25.41100000000
12,1,ORA,33.719,LOS ANGELES/ORANGE COUNTY LINE,4000,45500,41600,0,0,0,33.75092967000,-118.10603260000,26.40900000000,33.75099223000,-118.10591170000,26.40900000000
7,1,LA,0,LOS ANGELES/ORANGE COUNTY LINE,0,0,0,3950,44500,41000,33.75092967000,-118.10603260000,26.40900000000,33.75099223000,-118.10591170000,26.40900000000
7,1,LA,1.86,"LONG BEACH, BELLFLOWER BOULEVARD",3350,37000,34500,2550,28000,26000,33.77397955000,-118.12103770000,28.26900000000,33.77412899000,-118.12097050000,28.26900000000
7,1,LA,1.973,"LONG BEACH, JCT. RTE. 22",2550,28000,26000,3400,36500,34000,33.77528003000,-118.12281400000,28.38200000000,33.77538789000,-118.12269190000,28.38200000000
7,1,LA,2.751,"LONG BEACH, ANAHEIM STREET",3400,36500,34000,2800,30000,28000,33.78262518000,-118.13272470000,29.16000000000,33.78273268000,-118.13260640000,29.16000000000
7,1,LA,5.011,"LONG BEACH, CHERRY AVENUE",3600,37500,36500,3650,38500,37000,33.78980060000,-118.16766710000,31.35400000000,33.78991248000,-118.16766720000,31.42000000000
7,1,LA,6.26,"LONG BEACH, LONG BEACH BOULEVARD",3200,33500,32500,3350,35500,34500,33.78980302000,-118.18928870000,32.60300000000,33.78991440000,-118.18929220000,32.66900000000
7,1,LA,7.288,"LONG BEACH, JCT. RTE. 710",4550,49500,40500,4350,47500,39000,33.78985856000,-118.20787260000,33.63100000000,33.78994579000,-118.20787800000,33.69700000000
7,1,LA,8.266,"LONG BEACH, JCT. RTE. 103",3800,41500,34000,3300,36500,30000,33.78982175000,-118.22448220000,34.60900000000,33.78989623000,-118.22447920000,34.67500000000
7,1,LA,9.253,"LOS ANGELES, ALAMEDA STREET",3300,36500,30000,3550,40000,32500,33.79119280000,-118.24077130000,35.59600000000,33.79129215000,-118.24078410000,35.66200000000
7,1,LA,10.532,"LOS ANGELES, AVALON BOULEVARD",3550,40000,33000,4350,50000,41000,33.79109635000,-118.26330700000,36.87500000000,33.79120580000,-118.26331880000,36.94100000000
7,1,LA,11.61,"LOS ANGELES, JCT. RTE. 110",4400,51000,41500,4250,57000,55000,33.79049998000,-118.28215910000,37.95300000000,33.79064310000,-118.28214190000,38.01900000000
