"District,C,254","Route,C,254","County,C,254","Postmile,C,254","Descriptn,C,254","Back_pk_h,N,10,0","Back_pk_m,N,10,0","Back_AADT,N,10,0","Ahead_pk_h,N,10,0","Ahead_pk_m,N,10,0","Ahead_AADT,N,10,0","Lat_S_or_W,N,19,11","Lon_S_or_W,N,19,11","Lat_N_or_E,N,19,11","Lon_N_or_E,N,19,11"
12,1,ORA,R0.129,"DANA POINT, JCT. RTE. 5",0,0,0,3800,41000,37750,33.46700782000,-117.66980890000,33.46705125000,-117.66990990000
12,1,ORA,R.78,"DANA POINT, DOHENY PARK ROAD",3800,41000,37750,3900,42000,38800,33.46408053000,-117.67891550000,33.46419038000,-117.67892090000
12,1,ORA,4.864,BREAK IN ROUTE,0,0,0,0,0,0,33.46415920000,-117.68398530000,33.46425140000,-117.68397760000
12,1,ORA,8.43,"LAGUNA BEACH, MOUNTAIN ROAD",2900,39500,36800,2900,39500,36800,33.53174413000,-117.77487180000,33.53175236000,-117.77486390000
12,1,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3050,41000,38500,3450,41000,38500,33.54273836000,-117.78531850000,33.54273836000,-117.78531850000
12,1,ORA,9.6,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3400,40000,37400,3400,40000,37400,33.54380386000,-117.78835760000,33.54388958000,-117.78832300000
12,1,ORA,11.5,"LAGUNA BEACH, NORTH CITY LIMITS",3200,38000,35700,3200,39000,35700,33.55670291000,-117.81654250000,33.55679371000,-117.81648840000
12,1,ORA,14.057,BREAK IN ROUTE,0,0,0,0,0,0,33.58428200000,-117.85090000000,33.58440089000,-117.85078530000
12,1,ORA,R18.073,"NEWPORT BEACH, BAYSIDE DRIVE",4050,50000,45850,4850,60000,54800,33.61618212000,-117.90090940000,33.61634883000,-117.90091090000
12,1,ORA,R18.446,"NEWPORT BEACH, DOVER DRIVE",4300,53000,48650,4300,53000,48650,33.61624536000,-117.90722400000,33.61624536000,-117.90722400000
12,1,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55",4400,54000,49400,5400,53000,49400,33.62115559000,-117.92935860000,33.62127138000,-117.92932550000
