"District,C,254","Route,C,254","County,C,254","Postmile,C,254","Descriptn,C,254","Back_pk_h,C,254","Back_pk_m,C,254","Back_AADT,C,254","Ahead_pk_h,C,254","Ahead_pk_m,C,254","Ahead_AADT,C,254","Lat_S_or_W,C,254","Lon_S_or_W,N,19,11","Lat_N_or_E,N,19,11","Lon_N_or_E,N,19,11"
12,1,ORA,R.129,"DANA POINT, JCT. RTE. 5",,,,3800,41000,37750,33.46700782,-117.66980890000,33.46707789000,-117.66995230000
12,1,ORA,R.78,"DANA POINT, DOHENY PARK ROAD",3800,41000,37750,3900,42000,38800,33.4640797,-117.67891500000,33.46417340000,-117.67887010000
12,1,ORA,R1.077,BREAK IN ROUTE,,,,,,,33.4641592,-117.68398530000,33.46425140000,-117.68397760000
12,1,ORA,8.43,"LAGUNA BEACH, MOUNTAIN ROAD",2900,39500,36800,2900,39500,36800,33.53170219,-117.77480480000,33.53170882000,-117.77481350000
12,1,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3050,41000,38500,3450,41000,38500,33.54273836,-117.78531850000,33.54273836000,-117.78531850000
12,1,ORA,9.6,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3400,40000,37400,3400,40000,37400,33.54373474,-117.78816680000,33.54386729000,-117.78825710000
12,1,ORA,11.5,"LAGUNA BEACH, NORTH CITY LIMITS",3200,38000,35700,3200,39000,35700,33.55669271,-117.81651860000,33.55678080000,-117.81645800000
12,1,ORA,14.057,BREAK IN ROUTE,,,,,,,33.584282,-117.85090000000,33.58440089000,-117.85078530000
12,1,ORA,R18.073,"NEWPORT BEACH, BAYSIDE DRIVE",4050,50000,45850,4850,60000,54800,33.61618113,-117.90087410000,33.61634913000,-117.90091680000
12,1,ORA,R18.446,"NEWPORT BEACH, DOVER DRIVE",4300,53000,48650,4300,53000,48650,33.6162488,-117.90719320000,33.61624880000,-117.90719320000
12,1,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55",4400,54000,49400,5400,53000,49400,33.62117145,-117.92906090000,33.62127439000,-117.92902490000
