,Segment_Num,Route,County,District,Postmile,Postmile_Boundary,Postmile_Distance,Latitude,Longitude,Ahead_Collisions_Rate,Back_Collisions_Rate,Previous_Back_Peak_Hourly,Previous_Back_Peak_Monthly,Previous_Ahead_Peak_Hourly,Previous_Ahead_Peak_Monthly,Previous_Ahead_Collision_Ratio,Previous_Back_Collision_Ratio,Previous_Ahead_Collision_Spread,Previous_Back_Collision_Spread,Previous_Ahead_Collisions_Per_Distance,Previous_Ahead_Collisions_Morning_Ratio,Previous_Ahead_Collisions_Daytime_Ratio,Previous_Ahead_Collisions_Evening_Ratio,Previous_Ahead_Collisions_Nighttime_Ratio,Previous_Back_Collisions_Per_Distance,Previous_Back_Collisions_Morning_Ratio,Previous_Back_Collisions_Daytime_Ratio,Previous_Back_Collisions_Evening_Ratio,Previous_Back_Collisions_Nighttime_Ratio,Pred_Ahead_Collisions_Rate,Pred_Diff
0,1,1,1,12,0.129,0.78,0.6509999999999999,33.46705125,-117.66990990000002,0.00015957446808510637,0.0,0,0,3800,40500,0.8,0.2,0.24687070068589115,0.0919238815542512,12.288786482334869,0.0,0.5,0.5,0.0,3.0721966205837177,0.0,0.0,0.5,0.5,0.00026142597,-1.2980978539649485e-05
1,2,1,1,12,0.78,4.864,4.084,33.46419038,-117.6789209,2.5806451612903226e-05,0.00010638297872340424,3800,40500,3900,42000,0.6666666666666666,0.3333333333333333,0.03535533905932741,-1.0,0.4897159647404506,0.5,0.5,0.0,0.0,0.2448579823702253,0.0,0.0,1.0,0.0,0.00033915043,-0.0002315067998824581
2,4,1,1,12,8.43,9.418,0.9879999999999995,33.53175236,-117.7748639,0.0009164420485175204,0.0008625336927223718,2900,39500,2900,39500,0.5789473684210527,0.42105263157894735,0.3188135706067582,0.2963547986226419,33.40080971659921,0.18181818181818185,0.3939393939393939,0.2727272727272727,0.15151515151515152,24.291497975708513,0.125,0.375,0.4166666666666667,0.08333333333333333,0.00048530102,0.0003503767370856356
3,5,1,1,12,9.418,9.6,0.1820000000000004,33.54273836,-117.7853185,0.00018134715025906737,7.7720207253886e-05,3050,41000,3450,41000,0.75,0.25,0.038523802166106964,0.07341207893346532,65.93406593406579,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,21.978021978021932,0.0,0.5,0.5,0.0,0.0002553761,-9.47711998934572e-06
4,6,1,1,12,9.6,11.5,1.9000000000000004,33.54388958,-117.788323,0.0003733333333333333,0.0002933333333333333,3400,40000,3400,40000,0.6071428571428571,0.3928571428571429,0.4316434990754725,0.5192304445479428,8.947368421052632,0.17647058823529413,0.2352941176470588,0.35294117647058826,0.2352941176470588,5.7894736842105265,0.09090909090909093,0.5454545454545454,0.3636363636363637,0.0,0.00043186545,6.615756352742498e-06
5,7,1,1,12,11.5,14.057,2.5570000000000004,33.55679371,-117.8164884,0.00022440392706872368,0.00016830294530154275,3200,38000,3200,39000,0.2,0.8,0.4195632649950814,0.6269019545399906,1.1732499022291747,0.0,0.0,0.3333333333333333,0.6666666666666666,4.6929996089167,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0002823472,-1.1996534061298344e-06
6,9,1,1,12,18.073,18.446,0.3730000000000011,33.61634883,-117.9009109,0.0001095890410958904,2.1834061135371177e-05,4050,50000,4850,60000,0.2727272727272727,0.7272727272727273,0.2118875487925932,0.1702027677297216,8.042895442359226,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,21.4477211796246,0.125,0.25,0.5,0.125,0.0002014935,-5.8055511892658496e-06
7,10,1,1,12,18.446,19.797,1.350999999999999,33.61624536,-117.907224,0.0002263374485596708,0.00034979423868312763,4300,53000,4300,53000,0.4680851063829787,0.5319148936170213,0.4718219292280014,0.4423846290277273,16.284233900814222,0.045454545454545456,0.3181818181818182,0.5,0.13636363636363635,18.504811250925254,0.24,0.2,0.44,0.12,0.00030344725,-5.836413720998251e-05
8,11,1,1,12,19.797,20.37,0.5730000000000004,33.62127138,-117.9293255,0.00012158054711246201,0.00012158054711246201,4400,54000,5400,52000,0.5384615384615384,0.4615384615384616,0.17424298851781322,0.11379748093286934,12.216404886561945,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,10.471204188481668,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.00021028519,-1.4079624396327054e-05
9,12,1,1,12,20.37,21.549,1.1789999999999985,33.62303601,-117.9392138,0.00032586558044806515,0.00024439918533604893,5500,52000,5500,52000,0.6296296296296297,0.3703703703703704,0.38731149114952734,0.24833892611151898,14.418999151823597,0.1176470588235294,0.29411764705882354,0.29411764705882354,0.29411764705882354,8.481764206955058,0.3,0.2,0.2,0.3,0.00022858381,0.000138081147083197
